year,ram_usd_per_mb,ram_usd_per_gb,lipstick_prestige_b_usd,lipstick_index_2001_100,hemline_score_0_10,mui_b_usd,mui_yoy_pct,box_office_b_usd,cpi_yoy,real_gdp_yoy,unemp_u3,sp500_close,sp500_return,nber_recession
1980,6480,6635520,,,5.0,,,1.64,13.5,-0.3,7.1,135.76,32.5,1
1981,4479,4586496,,,5.0,,,1.82,10.3,2.5,7.6,122.55,-4.9,1
1982,2027,2075648,,,5.5,,,2.75,6.2,-1.8,9.7,140.64,21.6,1
1983,685,701440,,,5.5,,,3.77,3.2,4.6,9.6,164.93,22.6,0
1984,451,461824,,,6.0,,,4.03,4.3,7.2,7.5,167.24,6.3,0
1985,385,394240,,,6.5,,,3.75,3.5,4.2,7.2,211.28,31.7,0
1986,178,182272,,,6.5,,,3.78,1.9,3.5,7.0,242.17,18.7,0
1987,133,136192,,,7.0,,,4.25,3.7,3.5,6.2,247.08,5.3,0
1988,107,109568,,,7.0,,,4.46,4.1,4.2,5.5,277.72,16.8,0
1989,73,74752,,,6.5,,,5.03,4.8,3.7,5.3,353.40,31.5,0
1990,47,48128,,,6.0,,,5.02,5.4,1.9,5.6,330.22,-3.2,1
1991,42,43008,,,5.5,,,4.80,4.2,-0.1,6.8,417.09,30.5,1
1992,39,39936,,,5.5,,,4.87,3.0,3.5,7.5,435.71,7.7,0
1993,34,34816,,,5.5,,,5.15,3.0,2.8,6.9,466.45,10.0,0
1994,32,32768,,,5.5,,,5.40,2.6,4.0,6.1,459.27,1.3,0
1995,30,30720,,,5.5,,,5.29,2.8,2.7,5.6,615.93,37.6,0
1996,6.9,7065.6,,,5.5,,,5.82,3.0,3.8,5.4,740.74,23.0,0
1997,4.1,4198.4,,,5.5,,,6.21,2.3,4.4,4.9,970.43,33.4,0
1998,1.38,1413.12,,,5.5,,,6.79,1.6,4.5,4.5,1229.23,28.6,0
1999,1.13,1157.12,,,5.5,,,7.30,2.2,4.8,4.2,1469.25,21.0,0
2000,1.05,1075.2,,,6.0,,,7.48,3.4,4.1,4.0,1320.28,-9.1,0
2001,0.23,235.52,10.0,100,6.0,,,8.35,2.8,1.0,4.7,1148.08,-11.9,1
2002,0.16,163.84,10.3,95,6.0,,,9.16,1.6,1.7,5.8,879.82,-22.1,0
2003,0.19,194.56,10.8,96,6.0,,,9.24,2.3,2.8,6.0,1111.92,28.7,0
2004,0.19,194.56,11.4,98,6.0,,,9.38,2.7,3.9,5.5,1211.92,10.9,0
2005,0.13,133.12,12.0,100,6.5,2.35,,8.84,3.4,3.5,5.1,1248.29,4.9,0
2006,0.16,163.84,12.8,104,6.5,2.42,3.0,9.21,3.2,2.8,4.6,1418.30,15.8,0
2007,0.11,112.64,13.5,107,6.5,2.50,3.3,9.63,2.9,2.0,4.6,1468.36,5.5,1
2008,0.039,39.936,13.0,92,6.5,2.48,-0.8,9.65,3.8,0.1,5.8,903.25,-37.0,1
2009,0.024,24.576,12.1,86,6.5,2.42,-2.4,10.62,-0.4,-2.6,9.3,1115.10,26.5,1
2010,0.012,12.288,13.3,93,5.5,2.48,2.5,10.59,1.6,2.7,9.6,1257.64,15.1,0
2011,0.0078,7.9872,14.2,99,5.5,2.53,2.0,10.16,3.2,1.6,8.9,1257.60,2.1,0
2012,0.0044,4.5056,15.0,105,5.5,2.58,2.0,10.84,2.1,2.3,8.1,1426.19,16.0,0
2013,0.0055,5.632,15.6,110,5.5,2.60,0.8,10.96,1.5,2.1,7.4,1848.36,32.4,0
2014,0.0069,7.0656,16.2,115,5.5,2.65,1.9,10.37,1.6,2.5,6.2,2058.90,13.7,0
2015,0.0047,4.8128,17.0,122,5.5,2.70,1.9,11.15,0.1,2.9,5.3,2043.94,1.4,0
2016,0.0030,3.072,17.9,128,5.5,2.75,1.9,11.38,1.3,1.8,4.9,2238.83,12.0,0
2017,0.0053,5.4272,18.9,135,5.5,2.85,3.6,11.08,2.1,2.5,4.4,2673.61,21.8,0
2018,0.0082,8.3968,19.5,140,5.5,3.00,5.3,11.89,2.4,3.0,3.9,2506.85,-4.4,0
2019,0.0035,3.584,20.0,144,5.5,3.10,3.3,11.36,1.8,2.6,3.7,3230.78,31.5,0
2020,0.0035,3.584,16.0,80,5.5,3.16,1.9,2.11,1.2,-2.2,8.1,3756.07,18.4,1
2021,0.0036,3.6864,21.0,120,5.5,3.30,4.4,4.48,4.7,6.1,5.3,4766.18,28.7,0
2022,0.0030,3.072,24.2,150,5.5,3.36,1.8,7.37,8.0,2.1,3.6,3839.50,-18.1,0
2023,0.0018,1.8432,27.8,214,5.5,3.40,1.2,8.91,4.1,2.9,3.6,4769.83,26.3,0
2024,0.0029,2.9696,29.5,255,5.5,3.55,4.4,8.57,3.0,2.8,4.0,5881.63,25.0,0
2025,0.0041,4.1984,30.6,275,5.5,3.65,2.8,8.66,2.1,2.2,4.1,6089.54,5.5,0
2026,0.0052,5.3248,31.5,285,5.5,3.72,1.9,2.31,1.8,2.0,4.0,5995.00,-1.5,0
